,Timestamp,Gender,Age,Time zone,Native English,Number of oshis,Pomu Rainpuff,Elira Pendora,Finana Ryugu,Rosemi Lovelock,Petra Gurin,Selen Tatsuki,Nina Kosaka,Millie Parfait,Enna Alouette,Reimu Endou,Luca Kaneshiro,Shu Yamino,Ike Eveland,Mysta Rias,Vox Akuma,Sonny Brisko,Uki Violeta,Alban Knox,Fulgur Ovid,Maria Marionette,Kyo Kaneko,Aia Amare,Aster Arcadia,Scarle Yonaguni,Ren Zotto,Doppio Dropscythe,Meloco Kyoran,Hex Haywire,Kotoka Torahime,Ver Vermillion
31,2023-05-21 05:08:24,Unknown,28.0,8.0,True,5,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
32,2023-05-21 05:10:19,Unknown,22.0,-5.0,True,2,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
33,2023-05-21 05:14:56,Unknown,27.0,8.0,False,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
34,2023-05-21 05:22:39,Unknown,27.0,8.0,True,6,False,False,False,False,False,False,False,True,False,False,False,True,True,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False
35,2023-05-21 05:27:53,Unknown,20.0,8.0,True,3,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False
36,2023-05-21 05:29:28,Unknown,,-5.0,False,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
37,2023-05-21 05:36:53,Unknown,28.0,8.0,False,2,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
38,2023-05-21 05:36:54,Unknown,27.0,5.0,False,1,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
39,2023-05-21 05:43:24,Unknown,23.0,8.0,True,7,False,False,False,False,False,False,False,True,False,False,True,True,False,False,False,False,True,False,True,False,True,False,False,False,False,True,False,False,False,False
40,2023-05-21 05:49:07,Unknown,22.0,-5.0,True,7,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,True,False,False,True,False,False,False,False,False,True,True,False,False,False,False
41,2023-05-21 05:49:12,Unknown,17.0,9.0,True,3,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
42,2023-05-21 05:49:50,Unknown,23.0,-5.0,True,4,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False
43,2023-05-21 05:52:38,Unknown,,-4.0,True,4,True,False,False,False,False,False,False,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
44,2023-05-21 05:53:48,Unknown,29.0,3.0,True,2,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
45,2023-05-21 05:54:26,Unknown,22.0,1.0,True,3,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
